"","X","MouseGene.Symbol","lfc.PS2APP","lfc.7.13months.1","lfc.7.13months.2","lfc.WT.5xFAD","lfc.Trem2KO.5xFAD","lfc.Trem2KOvWT","lfc.Trem2KOvWT.5xFAD","lfc.APPswe.PS1dE9","lfc.hMAPT.P301L","lfc.X6.2hMAPT.P301S","lfc.hSOD1.G93A.d65","lfc.hSOD1.G93A.d100","lfc.2MFP2ko","lfc.transischemia","lfc.4wkcuprizoneWT","lfc.12wkcuprizoneWT","lfc.4wkcuprizoneTrem2KO","lfc.12wkcuprizoneTrem2KO","lfc.LPS","lfc.LPSmogene","lfc.LCMV","lfc.GBM","lfc.GBM.CSF1Rblock","lfc.repop.MG","lfc.infiltrating.MG","lfc.22Mvs4.12M.Cb","lfc.22Mvs4.12M.Ctx","lfc.22Mvs4.12M.Hp","lfc.22Mvs4.12M.Str","lfc.PS2APP.13months","lfc..SOD1G93A.D28","lfc..SOD1G93A.D42","lfc..SOD1G93A.D56","lfc..SOD1G93A.D70","lfc..SOD1G93A.D98","lfc..SOD1G93A.D112","lfc..SOD1G93A.D126","lfc.AD.fusiform","lfc.AD.temp","lfc.ALS","lfc.ALS.MN","lfc.FTDprogranulin","lfc.HD"
"Axl",511,"Axl","2.375",0.7156,1.948,3.986,2.903,-1.807,-2.89,2.824,"0.8156",4.551,"0.2542",2.659,4.296,-0.2884,6.127,6.555,1.749,1.885,"-0.09951",2.775,5.122,4.006,0.8458,2.921,3.674,1.204,1.848,1.484,2.272,0.3726,-0.1227,-0.3456,0.1957,-0.06068,0.8597,1.773,2.492,"0.1534",0.2628,0.411,1.248,0.6673,0.4179
"Xaf1",548,"Xaf1","0.6166",0.9346,-0.2314,0.7446,0.7441,0.1551,0.1546,0.7786,"-0.3653",1.331,"-0.5734",-0.3265,1.48,-0.1187,-0.374,-2.093,0.8314,-1.38,"2.31",1.842,3.199,2.935,NA,0.5049,-0.3148,0.8091,0.5132,0.6448,0.7154,0.696,0.1042,-0.1695,0.1452,-0.0668,0.04783,0.494,0.2075,"0.1782",0.6617,-0.3427,0.4012,1.166,0.2493
"Slfn5",549,"Slfn5","1.629",1.149,0.8368,2.547,3.022,-1.457,-0.9827,0.2587,"-0.2457",2.376,"1.135",0.8351,1.371,3.242,-0.9435,0.7568,0.9533,-0.1256,"3.119",3.475,3.599,3.188,NA,2.346,2.16,1.213,0.3785,0.6742,0.8623,0.6408,-0.08083,0.2037,0.1696,-0.08261,-0.2586,-0.1274,-0.1942,"0.05587",0.5161,1.147,0.6842,NA,0.006226
"Treml2",550,"Treml2","1.167",0.3195,0.9987,1.142,0.9785,-1.357,-1.521,0.6965,"-0.7311",1.481,"0.2795",0.1342,0.7294,0.894,0.4398,-1.488,2.066,1.734,"0.7653",2.225,2.911,1.637,NA,2.186,1.053,1.212,0.5662,0.9365,0.6052,2.073,-0.1759,0.1144,0.1343,0.1647,-0.03304,-0.2039,-0.1333,"0",0.2522,-0.2686,-0.1446,0.1284,-0.03639
"Irf7",583,"Irf7","0.6179",0.23,0.4092,1.475,0.9752,0.1127,-0.3872,0.5347,"0",1.935,"0",0.3386,0.9891,2.984,-0.796,-1.56,-0.5816,-0.1297,"2.501",4.03,2.747,5.287,-0.4474,0.6201,-0.1174,1.318,0.9578,0.7065,1.147,1.177,0.2132,-0.1013,0.1548,0.2053,0.3149,0.2106,0.3425,"0.4247",0.4457,0.5275,0.7077,0.9044,0.373
"Isg20",618,"Isg20","0.8041",0.9928,0.6788,0.6519,0.2937,-0.4375,-0.7957,0.4869,"-0.514",1.622,"-0.08537",0.5106,-0.1297,-0.05813,0.1073,-1.013,0.5788,-0.52,"0.9665",5.719,5.609,2.581,-0.6146,0.4532,-1.178,0.7649,0.4607,0.4613,0.7743,0.1995,0.5753,0.1926,0.1779,0.4817,0.02979,-0.09446,0.3102,"0.5193",0.4538,NA,NA,0.8075,0.1371
"Rsad2",620,"Rsad2","1.313",0.333,-0.5474,2.792,1.463,0.966,-0.3631,1.029,"0",2.235,"2.511",1.907,1.154,3.528,1.354,1.751,-0.6807,0.8212,"3.908",5.484,3.629,4.377,-1.289,0.802,-0.699,1.112,0.7674,0.8788,1.253,1.162,0.3999,0.1677,0.1294,0.1963,-0.03851,0.0573,0.6503,"-0.5231",0.4797,0.1033,-0.07407,0.4007,-0.03492
"Zbp1",622,"Zbp1","1.41",1.132,1.439,3.202,2.231,-0.08943,-1.06,1.009,"1.228",3.142,"0.3023",0.6588,1.717,3.243,1.125,0.01791,-0.7007,-0.4192,"3.814",5.988,6.322,4.87,-0.6598,0.5167,0.1117,1.322,1.024,1.135,1.459,1.495,-0.0238,0.3293,0.1278,0.07416,-0.1699,-0.03289,-0.02468,"0.007661",0.1267,0.02195,-0.1031,0.07705,-0.00799
"Ms4a4c",635,"Ms4a4c","0.6983",-0.3206,0,2.143,0.3101,0.007201,-1.826,0.2957,"0",0,"0.9795",0.1852,-0.8257,1.543,1.133,2.7,1.037,-0.1466,"2.282",2.682,4.007,5.536,-1.208,-0.8702,-0.2772,1.046,1.209,1.213,1.204,0,-0.07973,0.1277,0.07988,0.1445,0.05572,0.1215,-0.03956,"",NA,NA,NA,NA,NA
"Ifitm3",641,"Ifitm3","1.034",0.1498,0.1973,1.87,1.343,-0.4085,-0.9353,0.7883,"-0.1593",2.671,"1.023",0.5399,0.9079,2.339,0.7926,0.4688,1.059,0.2366,"3.438",2.3,0.7442,2.674,-1.043,0.2271,-0.8533,0.8566,0.8672,0.5783,1.032,0.738,0.3258,0.0564,0.244,0.1105,0.7059,1.423,1.558,"0.02691",0.3382,NA,NA,0.5051,0.6078
"Rnf213",658,"Rnf213","0.5392",0.3338,0.3783,0.6232,-0.1152,-0.673,-1.411,0.07957,"0.1385",1.058,"0.06825",0.1791,1.147,0.09644,0.5985,-2.836,-0.964,-1.824,"1.532",2.806,3.356,2.857,NA,2.167,2.323,0.5022,0.4068,0.3051,0.4542,NA,0.3229,-0.06236,0.1841,0.3403,0.268,0.396,0.6164,"0.3679",-0.1886,-0.4969,-0.388,NA,0.3845
"Rtp4",663,"Rtp4","1.122",0.4295,0.8841,1.167,1.329,-0.6743,-0.5123,0.941,"0.1644",2.334,"0.1621",1.085,1.269,0.8959,0.7067,-0.3858,0.4063,-0.381,"3.183",2.119,2.959,2.979,-0.5259,0.5072,-0.3248,0.7499,0.8194,0.8567,1.195,0.9236,-0.07631,-0.3269,-0.1118,-0.1748,0.2195,0.9031,0.6443,"-0.1382",-0.00929,0.006027,0.8309,0.6101,0.08413
"Bst2",685,"Bst2","0.3285",0.1992,0.1038,0.9167,0.6522,-0.2074,-0.4718,0.6043,"-0.1755",1.448,"1.667",1.129,1.011,1.021,0.7634,-0.3632,0.3778,-0.5648,"2.98",2.88,2.791,2.71,-0.6619,1.145,1.652,0.7502,0.5187,0.5946,0.4974,1.147,0.1907,-0.2278,-0.0009956,0.1889,0.4789,0.8061,0.7541,"",NA,NA,NA,NA,NA
"Ms4a6c",717,"Ms4a6c","0.7303",-0.3159,-1.007,-0.9918,-0.5757,-0.0945,0.3217,-0.3464,"0.3382",0.9787,"-0.231",1.959,0.9244,1.5,1.337,0.7288,0.3907,-2.516,"4.851",3.561,1.029,2.062,-1.305,-0.1613,2.149,0.6374,0.5085,0.4441,0.4555,0.8617,0.03632,-0.04213,0.05474,0.01744,0.1103,0.2726,0.4353,"",NA,NA,NA,NA,NA
"Ifi27l2a",753,"Ifi27l2a","1.39",0.653,1.231,2.871,1.369,-0.1283,-1.631,1.829,"0",3.206,"-0.5022",1.358,1.831,0.8356,1.179,-0.01713,2.13,1.145,"0.4274",1.915,5.577,3.389,-0.7524,1.244,1.404,0.9321,1.539,1.175,1.702,1.609,-0.05857,0.04918,0.2877,0.1606,0.6945,1.002,0.4735,"",NA,NA,NA,NA,NA
"Dhx58",759,"Dhx58","0.4024",0.5516,0.1956,-0.05715,0.794,-1.651,-0.7998,0.4975,"-0.1897",1.82,"0.2511",0.1402,0.7574,0.1092,0.9452,0.5507,0.5479,-0.5378,"2.14",3.387,5.087,3.142,-0.2683,0.9162,0.6383,0.6666,0.2228,0.4337,0.5351,0.4375,0.2276,0.08644,0.1881,0.2006,0.02448,-0.1202,-0.2377,"-0.2092",-0.1898,0.2759,0.02211,0.3038,0.01218
